epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,58.0083,1.22977,0.62842,0.91223,0.99642,1,0.995,0.76112,0.93049,0.72624,0.98356,0.0002525,0.0002525,0.0002525
27,59.9738,1.21158,0.6327,0.97085,0.99187,0.95455,0.99167,0.75518,0.9625,0.75949,1.00016,0.000252304,0.000252304,0.000252304
28,62.0646,1.44917,0.69873,0.95308,0.99187,0.95455,0.99167,0.75518,0.9625,0.75949,1.00016,0.000251316,0.000251316,0.000251316
29,63.9786,1.31883,0.63247,0.96681,1,0.95136,0.99167,0.74563,0.99774,0.72397,1.01805,0.000249536,0.000249536,0.000249536
30,65.7844,1.27108,0.61613,0.9266,1,0.95136,0.99167,0.74563,0.99774,0.72397,1.01805,0.000246964,0.000246964,0.000246964
31,67.7195,1.17959,0.56996,0.96875,0.91608,0.99263,0.9875,0.72614,1.05341,0.70032,1.03308,0.0002436,0.0002436,0.0002436
32,69.6648,1.14495,0.57675,0.93235,0.91608,0.99263,0.9875,0.72614,1.05341,0.70032,1.03308,0.000239444,0.000239444,0.000239444
33,71.4941,1.20773,0.6197,0.90183,0.91643,0.99704,0.98939,0.69897,1.11036,0.70054,1.05469,0.000234496,0.000234496,0.000234496
34,73.2943,1.28212,0.64297,1.00608,0.91643,0.99704,0.98939,0.69897,1.11036,0.70054,1.05469,0.000228756,0.000228756,0.000228756
35,75.1794,1.4273,0.62455,1.00189,0.95603,0.98865,0.99109,0.6968,1.10909,0.69158,1.05344,0.000222224,0.000222224,0.000222224
36,77.0822,1.21293,0.56936,0.98288,0.95603,0.98865,0.99109,0.6968,1.10909,0.69158,1.05344,0.0002149,0.0002149,0.0002149
37,79.0911,1.10963,0.58556,0.97452,0.9523,1,0.99109,0.73353,1.04394,0.64211,1.03105,0.000206784,0.000206784,0.000206784
38,81.0215,1.38142,0.64496,1.08186,0.9523,1,0.99109,0.73353,1.04394,0.64211,1.03105,0.000197876,0.000197876,0.000197876
39,82.8957,1.1095,0.56863,0.95941,0.9944,1,0.995,0.72941,1.04517,0.61494,1.03197,0.000188176,0.000188176,0.000188176
40,84.8014,1.1408,0.57676,0.91128,0.9944,1,0.995,0.72941,1.04517,0.61494,1.03197,0.000177684,0.000177684,0.000177684
41,87.4348,1.14362,0.60178,0.95553,0.99685,1,0.995,0.72444,1.09232,0.59841,1.04969,0.0001664,0.0001664,0.0001664
42,89.3813,1.2327,0.59454,1.00453,0.99685,1,0.995,0.72444,1.09232,0.59841,1.04969,0.000154324,0.000154324,0.000154324
43,91.33,1.23219,0.60064,1.01393,0.99695,1,0.995,0.72579,1.09644,0.56296,1.05406,0.000141456,0.000141456,0.000141456
44,93.155,1.22196,0.60446,1.00096,0.99695,1,0.995,0.72579,1.09644,0.56296,1.05406,0.000127796,0.000127796,0.000127796
45,95.0129,1.20437,0.55728,0.99302,0.9973,1,0.995,0.72678,1.07033,0.5343,1.04309,0.000113344,0.000113344,0.000113344
46,97.096,1.28021,0.56334,1.0662,0.9973,1,0.995,0.72678,1.07033,0.5343,1.04309,9.81e-05,9.81e-05,9.81e-05
47,98.9212,1.26795,0.57376,1.09676,0.99746,1,0.995,0.73894,1.04582,0.50988,1.0328,8.2064e-05,8.2064e-05,8.2064e-05
48,100.727,1.12933,0.55181,0.94631,0.99746,1,0.995,0.73894,1.04582,0.50988,1.0328,6.5236e-05,6.5236e-05,6.5236e-05
49,102.682,1.09955,0.54428,0.92584,0.99758,1,0.995,0.73679,1.03419,0.49646,1.0255,4.7616e-05,4.7616e-05,4.7616e-05
50,104.813,1.16091,0.54142,0.94228,0.99758,1,0.995,0.73679,1.03419,0.49646,1.0255,2.9204e-05,2.9204e-05,2.9204e-05
1,4.6197,2.29616,4.17044,1.27318,0.16048,0.10294,0.04413,0.01552,1.50072,3.66811,1.17993,0,0,0
2,6.1449,2.50699,3.61996,1.36159,0.16343,0.10294,0.04528,0.01592,1.50482,3.66209,1.18184,1.967e-05,1.967e-05,1.967e-05
3,7.52995,1.94715,3.8418,1.25105,0.16459,0.10294,0.0522,0.01858,1.50167,3.62521,1.18131,3.868e-05,3.868e-05,3.868e-05
