epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,92.4975,1.14766,0.94342,1.14379,1,0.4089,0.91237,0.55446,1.41885,2.1092,1.12544,0.000993344,0.000993344,0.000993344
90,93.7674,1.21668,0.70743,0.91968,1,0.4089,0.91237,0.55446,1.41885,2.1092,1.12544,0.000995821,0.000995821,0.000995821
91,94.9506,1.3934,1.32127,1.2151,1,0.4089,0.91237,0.55446,1.41885,2.1092,1.12544,0.0009981,0.0009981,0.0009981
92,96.1674,1.25156,0.75096,1.14774,0.95999,0.35282,0.79454,0.4608,1.50613,2.16293,1.16368,0.00100018,0.00100018,0.00100018
93,96.8065,1.25638,0.7635,0.95575,0.95999,0.35282,0.79454,0.4608,1.50613,2.16293,1.16368,0.00100206,0.00100206,0.00100206
94,97.4369,1.29262,0.88531,1.08241,0.95999,0.35282,0.79454,0.4608,1.50613,2.16293,1.16368,0.00100375,0.00100375,0.00100375
95,98.1162,1.06012,0.79457,0.98296,0.95999,0.35282,0.79454,0.4608,1.50613,2.16293,1.16368,0.00100524,0.00100524,0.00100524
96,98.8483,1.36355,0.72727,0.93955,1,0.35811,0.87042,0.42627,1.68862,2.1881,1.25504,0.00100653,0.00100653,0.00100653
97,99.5938,1.41816,0.84001,1.01168,1,0.35811,0.87042,0.42627,1.68862,2.1881,1.25504,0.00100762,0.00100762,0.00100762
98,100.253,1.28458,0.74959,1.03673,1,0.35811,0.87042,0.42627,1.68862,2.1881,1.25504,0.00100851,0.00100851,0.00100851
99,100.9,1.29266,0.75615,0.97322,1,0.35811,0.87042,0.42627,1.68862,2.1881,1.25504,0.0010092,0.0010092,0.0010092
100,101.553,1.24523,0.75716,0.96988,1,0.43048,0.89623,0.4752,1.61657,2.07522,1.21386,0.0010097,0.0010097,0.0010097
101,102.32,1.12452,0.69973,1.06031,1,0.43048,0.89623,0.4752,1.61657,2.07522,1.21386,0.00101,0.00101,0.00101
102,102.962,1.24015,0.78681,0.93657,1,0.43048,0.89623,0.4752,1.61657,2.07522,1.21386,0.0010001,0.0010001,0.0010001
103,103.636,1.21506,0.76125,1.07837,1,0.43048,0.89623,0.4752,1.61657,2.07522,1.21386,0.0009902,0.0009902,0.0009902
104,104.274,1.13719,0.82294,1.15956,1,0.51503,0.88598,0.54079,1.47146,1.87866,1.12894,0.0009803,0.0009803,0.0009803
105,104.941,1.20846,0.69674,0.97278,1,0.51503,0.88598,0.54079,1.47146,1.87866,1.12894,0.0009704,0.0009704,0.0009704
106,105.599,1.25027,0.77742,0.91359,1,0.51503,0.88598,0.54079,1.47146,1.87866,1.12894,0.0009605,0.0009605,0.0009605
107,106.283,1.33836,0.75998,1.02813,1,0.51503,0.88598,0.54079,1.47146,1.87866,1.12894,0.0009506,0.0009506,0.0009506
